"scenario","rate_mt","L_mid","L_top","f1","f2","f3"
1,0.9,5,8,202972389.907229,9053065.93859186,1295325000
3,0.9,5,8,626168895.599248,19539569.1012891,3885975000
1,0.91,5,8,205020382.180778,9174713.60162174,1309717500
3,0.91,5,8,632077125.234737,19917333.8071714,3929152500
1,0.92,5,8,207110827.49435,9308831.24868057,1324110000
3,0.92,5,8,637971090.977278,20295098.5130538,3972330000
1,0.93,5,8,209199282.481562,9442948.89573939,1338502500
3,0.93,5,8,643875341.128394,20672863.2189361,4015507500
1,0.94,5,8,211284623.660515,9577066.54279821,1352895000
3,0.94,5,8,649877877.967478,21036731.070713,4058685000
1,0.95,5,8,213402698.315418,9711184.18985703,1367287500
3,0.95,5,8,655581736.085684,21427907.5413011,4101862500
1,0.96,5,8,215504476.91956,9845301.83691585,1381680000
3,0.96,5,8,661425661.36631,21803548.0329331,4145040000
1,0.97,5,8,217588090.364938,9979419.48397468,1396072500
3,0.97,5,8,667017559.684647,22194724.5035214,4188217500
1,0.98,5,8,219671703.810317,10113537.1310335,1410465000
3,0.98,5,8,672648929.161653,22585900.9741096,4231395000
1,0.99,5,8,221743643.845668,10247654.7780923,1424857500
3,0.99,5,8,678312316.1457,22972277.0836722,4274572500
1,1,5,8,233935538.687504,7979593.65085247,1439250000
3,1,5,8,684344208.596688,23334620.1219475,4317750000
1,0.8,6,8,130668391.214467,13938573.1044199,1151400000
3,0.8,6,8,332489330.707879,45778969.7478468,3454200000
1,0.81,6,8,131726012.722886,14182704.4604525,1165792500
3,0.81,6,8,325668565.601615,47351778.9053233,3497377500
1,0.82,6,8,128624866.392698,14886938.1154751,1180185000
3,0.82,6,8,328480911.605056,48181073.0229704,3540555000
1,0.83,6,8,134086667.379423,14674469.1663348,1194577500
3,0.83,6,8,331231736.602061,49010367.1406174,3583732500
1,0.84,6,8,135266583.34581,14920351.519276,1208970000
3,0.84,6,8,333853628.613914,49863670.7810398,3626910000
1,0.85,6,8,136444639.674912,15166233.8722172,1223362500
3,0.85,6,8,335772922.665497,50815629.6758573,3670087500
1,0.86,6,8,134536013.108789,15713711.2979113,1237755000
3,0.86,6,8,338504479.417763,51658335.5582102,3713265000
1,0.87,6,8,135685592.940721,15959593.6508525,1252147500
3,0.87,6,8,334104887.361201,55115221.568354,3756442500
1,0.88,6,8,136834350.048889,16205476.0037936,1266540000
3,0.88,6,8,335795446.002437,56009841.6173434,3799620000
1,0.89,6,8,137983929.880822,16451358.3567348,1280932500
3,0.89,6,8,338488937.594615,56821253.3820493,3842797500
1,0.9,6,8,139168776.863226,16709710.693705,1295325000
3,0.9,6,8,341061348.945313,57632665.1467552,3885975000
1,0.91,6,8,140282735.52333,16943123.0626172,1309717500
3,0.91,6,8,343775981.942147,58444076.9114611,3929152500
1,0.92,6,8,141439147.223457,17189005.4155584,1324110000
3,0.92,6,8,346476351.046033,59255488.676167,3972330000
1,0.93,6,8,142593568.597223,17434887.7684995,1338502500
3,0.93,6,8,349187004.558494,60066900.4408729,4015507500
1,0.94,6,8,143744876.16273,17680770.1214407,1352895000
3,0.94,6,8,351684647.338276,60895915.7639659,4058685000
1,0.95,6,8,144928917.204189,17926652.4743819,1367287500
3,0.95,6,8,354101026.464885,61734151.0580835,4101862500
1,0.96,6,8,146096662.194886,18172534.8273231,1381680000
3,0.96,6,8,356766224.606609,62541314.3942887,4145040000
1,0.97,6,8,147246242.026818,18418417.1802642,1396072500
3,0.97,6,8,359181140.572995,63379549.6884063,4188217500
1,0.98,6,8,148395821.858751,18664299.5332054,1410465000
3,0.98,6,8,361614442.82311,64217784.982524,4231395000
1,0.99,6,8,149533728.280657,18910181.8861466,1424857500
3,0.99,6,8,364118165.468471,65046419.5545903,4274572500
1,1,6,8,150694761.318599,19156064.2390878,1439250000
3,1,6,8,366979356.230638,65852400.7241365,4317750000
1,0.8,7,8,168598140.55838,10083441.6026064,1151400000
3,0.8,7,8,336976340.554418,45778419.0327699,3454200000
1,0.81,7,8,169930926.423374,10320829.8796019,1165792500
3,0.81,7,8,330035314.08875,47351228.1902464,3497377500
1,0.82,7,8,171094926.769263,10657729.7051223,1180185000
3,0.82,7,8,332664046.646813,48180522.3078935,3540555000
1,0.83,7,8,172598682.550277,10834947.5266607,1194577500
3,0.83,7,8,335231258.19844,49009816.4255405,3583732500
1,0.84,7,8,173832884.23095,11092006.3501901,1208970000
3,0.84,7,8,337669536.764915,49863120.0659628,3626910000
1,0.85,7,8,175065226.274337,11349065.1737196,1223362500
3,0.85,7,8,339269782.521688,50815078.9607803,3670087500
1,0.86,7,8,176185385.973905,11618620.5346173,1237755000
3,0.86,7,8,341879967.395638,51657784.8431332,3713265000
1,0.87,7,8,177330175.889871,11898032.2993232,1252147500
3,0.87,7,8,337438029.222276,55114670.8532771,3756442500
1,0.88,7,8,178446917.082932,12177444.064029,1266540000
3,0.88,7,8,339100089.845443,56009290.9022665,3799620000
1,0.89,7,8,179553387.671167,12456855.8287349,1280932500
3,0.89,7,8,341721732.698125,56820702.6669724,3842797500
1,0.9,7,8,178812956.319325,13017618.8761195,1295325000
3,0.9,7,8,344222295.309328,57632114.4316783,3885975000
1,0.91,7,8,181765974.82628,13015679.3581467,1309717500
3,0.91,7,8,346865079.566665,58443526.1963842,3929152500
1,0.92,7,8,182879277.282709,13295091.1228526,1324110000
3,0.92,7,8,349493599.931056,59254937.9610901,3972330000
1,0.93,7,8,183990589.412778,13574502.8875585,1338502500
3,0.93,7,8,352132404.704021,60066349.7257959,4015507500
1,0.94,7,8,185098787.734588,13853914.6522643,1352895000
3,0.94,7,8,354558198.744308,60895365.048889,4058685000
1,0.95,7,8,186239719.532348,14133326.4169702,1367287500
3,0.95,7,8,356902729.131421,61733600.3430065,4101862500
1,0.96,7,8,187364355.279348,14412738.1816761,1381680000
3,0.96,7,8,359496078.533649,62540763.6792118,4145040000
1,0.97,7,8,188470825.867583,14692149.946382,1396072500
3,0.97,7,8,361839145.76054,63378998.9733294,4188217500
1,0.98,7,8,189577296.455818,14971561.7110879,1410465000
3,0.98,7,8,364200599.271159,64217234.2674471,4231395000
1,0.99,7,8,190672093.634026,15250973.4757938,1424857500
3,0.99,7,8,366632473.177024,65045868.8395134,4274572500
1,1,7,8,201886845.61872,13128206.466201,1439250000
3,1,7,8,369421815.199694,65851850.0090595,4317750000
1,0.8,8,8,119426585.56141,16763968.061162,1151400000
3,0.8,8,8,332854135.236031,50893946.033102,3454200000
1,0.81,8,8,120669417.153862,16985746.4760181,1165792500
3,0.81,8,8,326067100.013729,52442548.8806248,3497377500
1,0.82,8,8,121550022.733975,17289116.8897738,1180185000
3,0.82,8,8,329134908.202044,53215960.6453306,3540555000
1,0.83,8,8,123400491.978467,17432805.2995475,1194577500
3,0.83,8,8,332141195.383924,53989372.4100365,3583732500
1,0.84,8,8,124765618.028887,17656334.7113122,1208970000
3,0.84,8,8,334898501.966774,54786793.6975176,3626910000
1,0.85,8,8,126128884.442022,17879864.1230769,1223362500
3,0.85,8,8,337379633.117419,55615152.814678,3670087500
1,0.86,8,8,127370865.684189,18115890.07221,1237755000
3,0.86,8,8,340261246.562797,56401976.3440898,3713265000
1,0.87,8,8,128534815.26402,18361772.4251512,1252147500
3,0.87,8,8,324303124.660811,59832482.6239892,3756442500
