"seed","method","evaluation","hypervolume","IGD_plus","pareto_size"
2,"TS",9,0.441201924515825,0.192623686023969,4
2,"TS",10,0.442194664733325,0.192623686023969,5
2,"TS",11,0.442194664733325,0.192623686023969,5
2,"TS",12,0.445494392851904,0.192305190697731,6
2,"TS",13,0.445638149141785,0.192305190697731,7
2,"TS",14,0.447597297829096,0.192305190697731,8
2,"TS",15,0.447597297829096,0.192305190697731,8
2,"TS",16,0.447597297829096,0.192305190697731,8
2,"TS",17,0.447597297829096,0.192305190697731,8
2,"TS",18,0.447597297829096,0.192305190697731,8
2,"TS",19,0.476839446854012,0.145060270281728,8
2,"TS",20,0.476839446854012,0.145060270281728,8
2,"TS",21,0.486825967951978,0.143096270162471,9
2,"TS",22,0.486825967951978,0.143096270162471,9
2,"TS",23,0.498729385586243,0.125821729616144,10
2,"TS",24,0.523879648264204,0.0884034661735023,10
2,"TS",25,0.523879648264204,0.0884034661735023,10
2,"TS",26,0.541375240215021,0.0830249461021634,11
2,"TS",27,0.541434833456966,0.0830012439963152,12
2,"TS",28,0.541557690728867,0.0829563363452439,13
2,"TS",29,0.541557690728867,0.0829563363452439,13
2,"TS",30,0.541557690728867,0.0829563363452439,13
2,"TS",31,0.541557690728867,0.0829563363452439,13
