"method","evaluation","metric","n","mean","sd","se","ci_low_95","ci_high_95"
"EHVI",44,"IGD_plus",10,0.0932870971171676,0.0397573168446079,0.012572367488594,0.0648464259495136,0.121727768284822
"EHVI",45,"IGD_plus",10,0.0925843446734418,0.0398846767171225,0.0126126422165594,0.0640525657414409,0.121116123605443
"EHVI",46,"IGD_plus",10,0.0922474565914545,0.039498186183189,0.012490423178427,0.0639921563319951,0.120502756850914
"EHVI",47,"IGD_plus",10,0.0898753858667395,0.035949243819161,0.0113681490629279,0.0641588460362794,0.1155919256972
"EHVI",48,"IGD_plus",10,0.0893914658509107,0.035222085449947,0.0111382013962909,0.0641951037816023,0.114587827920219
"EHVI",49,"IGD_plus",10,0.0886985612457061,0.0349841303148736,0.0110629533755144,0.0636724220255836,0.113724700465829
"EHVI",50,"IGD_plus",10,0.0885073900897751,0.0349956809501663,0.0110666060071091,0.0634729880429276,0.113541792136623
"EHVI",51,"IGD_plus",10,0.0882782242193035,0.0347283032665436,0.0109820537595343,0.063435092644938,0.113121355793669
"EHVI",52,"IGD_plus",10,0.0831844802645074,0.0311124622596016,0.00983862443563701,0.0609279655253496,0.105440995003665
"EHVI",53,"IGD_plus",10,0.0830637237553088,0.0312263509043297,0.00987463918733404,0.0607257379876332,0.105401709522984
"EHVI",54,"IGD_plus",10,0.0820357546525253,0.0329595240958061,0.0104227166737949,0.0584579314730839,0.105613577831967
"EHVI",55,"IGD_plus",10,0.0818541042483378,0.0328670753413898,0.0103934818107148,0.0583424149238165,0.105365793572859
"EHVI",56,"IGD_plus",10,0.0812030050521916,0.033023016922195,0.010442794868442,0.0575797618409132,0.10482624826347
"EHVI",57,"IGD_plus",10,0.0760957206348842,0.0293196503148224,0.00927168751945116,0.055121706301531,0.0970697349682373
"EHVI",58,"IGD_plus",10,0.0760346869029169,0.029314553225469,0.00927007567827175,0.055064318807633,0.0970050549982008
"EHVI",59,"IGD_plus",10,0.0757994912291845,0.0290683314926834,0.00919221352976818,0.0550052595508488,0.0965937229075202
"EHVI",60,"IGD_plus",10,0.0739599784172253,0.0256744381222235,0.00811897021112828,0.0555935917995762,0.0923263650348745
"EHVI",61,"IGD_plus",10,0.0726486504478468,0.0253542343290704,0.00801771288094936,0.0545113238249478,0.0907859770707458
"EHVI",62,"IGD_plus",10,0.072490117109807,0.0253603011545515,0.00801963137961804,0.0543484505414027,0.0906317836782111
"EHVI",63,"IGD_plus",10,0.0721874141753272,0.0252587212516061,0.00798750899383743,0.0541184134920027,0.0902564148586516
"EHVI",64,"IGD_plus",10,0.0718929820745397,0.0255673096521009,0.0080850932143446,0.0536032305478189,0.0901827336012605
"EHVI",65,"IGD_plus",10,0.071626017354805,0.0260626579747886,0.00824173610782833,0.0529819149845886,0.0902701197250215
"EHVI",66,"IGD_plus",10,0.0716257729460274,0.0260625932743063,0.00824171564773934,0.0529817168597478,0.090269829032307
"EHVI",67,"IGD_plus",10,0.0703174966121571,0.0249426402023475,0.00788755538975012,0.0524746066902663,0.0881603865340479
"EHVI",68,"IGD_plus",10,0.0702765688449105,0.0249842531609903,0.00790071456269907,0.0524039108056767,0.0881492268841442
