"cost_scenario","seed","method","final_hypervolume","final_IGD_plus","pareto_size","minimum_cost_eur","maximum_storage_m3yr","minimum_unretained_m3"
"base",6,"EPI",0.639594523180097,0.0464756332840781,18,1151413627.77392,828029312.557895,0
"base",7,"TS",0.573850357564981,0.0568849977174812,37,1154082567.09165,740610689.750965,0
"base",7,"SCAL",0.564116103419747,0.0757597926174395,43,1153869667.99147,728113406.525632,0
"base",7,"EHVI",0.619196173945967,0.0386167333377662,19,1154464011.59205,785917783.908935,0
"base",7,"EPI",0.538807352941225,0.0835064133273694,22,1153552415.60218,740243951.92395,0
"base",8,"TS",0.598355085401847,0.051814969169793,12,1153831221.59487,746111428.025916,0
"base",8,"SCAL",0.594707442809903,0.0512526533245969,34,1158882134.71707,736519454.445691,0
"base",8,"EHVI",0.656533047244414,0.0352630088261038,16,1154095058.33531,761283469.248137,0
"base",8,"EPI",0.634864801034798,0.040552619786358,10,1166079464.45433,723257969.870908,0
"base",9,"TS",0.661878872928063,0.0296364252161296,26,1152979234.7339,744892268.679059,0
"base",9,"SCAL",0.680247337787129,0.0112962804144222,30,1158518656.54977,837712163.079185,0
"base",9,"EHVI",0.669366392241028,0.0199579691848545,16,1176210000.5871,841628904.809238,0
"base",9,"EPI",0.610779057808428,0.0521756190597914,19,1152216859.24265,742991659.843336,0
"base",10,"TS",0.608696461984383,0.0435045203583454,12,1155554799.82712,742223653.818252,0
"base",10,"SCAL",0.599108519436003,0.0507206600679192,54,1153966493.62743,762259289.018862,0
"base",10,"EHVI",0.583208418177494,0.056552410589408,38,1152508069.28559,742223653.818252,0
"base",10,"EPI",0.591730253991365,0.0529270336624519,11,1155554799.82712,742223653.818252,0
"all_chain_costs_minus25pct",1,"TS",0.58084935178065,0.0630340042729551,46,875168737.678023,686520641.993336,0
"all_chain_costs_minus25pct",1,"SCAL",0.564951198580663,0.0683516993220564,48,865656328.036779,752581342.547672,0
"all_chain_costs_minus25pct",1,"EHVI",0.546198993054544,0.0716999636469693,14,863985828.559095,708449379.008347,0
"all_chain_costs_minus25pct",1,"EPI",0.643142852446114,0.0405320290972818,15,865110493.528846,746156639.392763,0
"all_chain_costs_minus25pct",2,"TS",0.5632406169979,0.064461468935245,46,863760837.84056,710722176.985894,0
"all_chain_costs_minus25pct",2,"SCAL",0.609649908472565,0.0458874128944785,35,865274598.23096,781940501.422216,0
"all_chain_costs_minus25pct",2,"EHVI",0.58465916722922,0.0597765472649137,46,865798365.852476,745218692.654919,0
"all_chain_costs_minus25pct",2,"EPI",0.633596670653869,0.0395242083034084,11,865798365.852476,730113362.114074,0
"all_chain_costs_minus25pct",3,"TS",0.574274337807927,0.0568186080025421,20,865189295.529356,768819823.336136,0
"all_chain_costs_minus25pct",3,"SCAL",0.630579341378084,0.0319124533921022,25,867516096.647256,833949418.666173,0
"all_chain_costs_minus25pct",3,"EHVI",0.627853909031785,0.0539482689670367,23,863982908.55161,778442761.85845,0
"all_chain_costs_minus25pct",3,"EPI",0.587924900548248,0.0568064217999543,14,867312345.851646,723179514.294899,0
"all_chain_costs_minus25pct",4,"TS",0.590680088510506,0.0585821433926008,27,870333274.247582,712680498.078651,0
"all_chain_costs_minus25pct",4,"SCAL",0.687263909579833,0.0113642944265491,18,865498148.197334,803412879.036328,0
"all_chain_costs_minus25pct",4,"EHVI",0.625340503821786,0.0347392622010078,29,865324482.496397,817983513.908264,0
"all_chain_costs_minus25pct",4,"EPI",0.614191247572563,0.045589290127295,15,865682821.0779,718170293.177989,0
"all_chain_costs_minus25pct",5,"TS",0.598279392071556,0.0489590976890641,14,864152108.840702,765074456.51798,0
"all_chain_costs_minus25pct",5,"SCAL",0.640022701526467,0.0283087987671844,30,866613607.593672,813502674.443543,0
"all_chain_costs_minus25pct",5,"EHVI",0.586631802468718,0.0563476488646628,33,864229494.367156,748083777.399606,0
"all_chain_costs_minus25pct",5,"EPI",0.586107672799724,0.0548482956982173,14,863655310.523321,783672554.765925,0
"all_chain_costs_minus25pct",6,"TS",0.578949937940012,0.0617472683961109,34,869621678.848617,723619608.200371,0
